fileyear,Program,Level,Number,Person,Cases,Medi-Cal,ACA,FPACT,CalFresh,CalWorks,IHSS,Child Welfare,Foster Care,DDS,WIC,Black,White,Hispanic,Asian_PI,Native American/Other/Unknown,Female,Male,Unknown/Other Gender,age1 missing,17 and Under,18 and Over,age2 missing,18-64,65 and Over,18 to 59,60 and Over,1 program,2 programs,3 programs,4 programs,5+ programs,1 department,2 departments,3 departments,4 departments,fc age missing,age 0,1 to 2,3 to 5,6 to 10,11 to 15,16 to 17,18 to 20,less than 19,20 to 24,25 to 29,30 to 34,35 and over,wic age 0,wic age 1,wic age 2,wic age 3,wic age 4,wic age 5 to 19,wic age 20 and Over
2015,WIC,State Assembly,District 05,17035,,15965,,1010,10429,4732,,627,382,0,,130,4470,11356,149,930,10221,6814,0,,,,,,,,,923,4769,6429,4518,396,923,5484,10628,,,,,,,,,,13646,1011,1107,753,518,3369,2877,2490,2376,2228,306,3389
2015,WIC,State Assembly,District 06,4794,,4306,,212,2516,1036,11,137,75,0,,87,2079,1982,155,491,2897,1897,0,,,,,,,,,425,1682,1636,945,106,425,1816,2553,,,,,,,,,,3783,255,327,262,167,1048,863,685,585,532,70,1011
2015,WIC,State Assembly,District 07,21429,,19754,,1051,13412,7374,20,670,260,0,,2599,3827,10179,2682,2142,12861,8568,0,,,,,,,,,1454,5812,6620,6956,587,1454,6417,13558,,,,,,,,,,17138,1239,1384,1008,660,4493,3648,3154,2820,2710,313,4291
2015,WIC,State Assembly,District 08,18427,,16927,,903,11528,6614,34,486,187,0,,2062,5672,7005,1484,2204,11107,7320,0,,,,,,,,,1304,5037,5329,6249,508,1304,5530,11593,,,,,,,,,,14443,1161,1229,1021,573,3935,3156,2595,2358,2169,230,3984
2015,WIC,State Assembly,District 09,19803,,18012,,810,11679,5972,19,474,268,0,,2643,1836,9509,3919,1896,11756,8047,0,,,,,,,,,1566,5982,6183,5679,393,1566,6478,11759,,,,,,,,,,15944,1105,1256,934,564,4243,3286,2912,2659,2523,321,3859
2015,WIC,State Assembly,District 10,8318,,7846,,931,3770,954,,147,52,0,,180,870,6787,207,274,5148,3169,,,,,,,,,,410,3345,3481,982,100,410,4106,3802,,,,,,,,,,6454,412,588,492,372,1674,1341,1153,1115,1068,103,1864
2015,WIC,State Assembly,District 11,13596,,11662,,871,6821,3250,12,374,263,0,,1932,1854,7865,674,1271,8221,5375,0,,,,,,,,,1725,4393,4085,3153,240,1725,4935,6936,,,,,,,,,,10691,824,911,730,440,3048,2269,1876,1699,1577,222,2905
2015,WIC,State Assembly,District 12,16788,,15292,,918,9268,4145,,414,244,0,,382,3078,11646,760,922,10197,6591,0,,,,,,,,,1308,5446,5785,3973,276,1308,6067,9413,,,,,,,,,,13413,1031,1110,748,486,3732,2856,2406,2105,2020,294,3375
2015,WIC,State Assembly,District 13,26754,,24390,,1445,16453,8843,,701,471,0,,2528,1850,17358,3245,1773,15850,10904,0,,,,,,,,,2095,7130,8430,8550,549,2095,7984,16675,,,,,,,,,,21514,1502,1700,1272,766,5372,4601,3992,3596,3505,448,5240
2015,WIC,State Assembly,District 14,12212,,10997,,1020,5876,2615,,253,156,0,,1566,1130,7600,794,1122,7485,4727,0,,,,,,,,,1060,4501,3884,2575,192,1060,5219,5933,,,,,,,,,,9526,694,819,689,484,2609,2054,1659,1535,1468,201,2686
