CALENDAR_YEAR,COC_ID,COC_NAME,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
2017,CA-513,"Kings, Tulare Counties CoC",18-24,283
2017,CA-513,"Kings, Tulare Counties CoC",25-34,608
2017,CA-513,"Kings, Tulare Counties CoC",35-44,556
2017,CA-513,"Kings, Tulare Counties CoC",45-54,438
2017,CA-513,"Kings, Tulare Counties CoC",55-64,284
2017,CA-513,"Kings, Tulare Counties CoC",65+,79
2017,CA-513,"Kings, Tulare Counties CoC",Under 18,777
2017,CA-513,"Kings, Tulare Counties CoC",Unknown,41
2017,CA-514,"Fresno, Madera Counties CoC",18-24,145
2017,CA-514,"Fresno, Madera Counties CoC",25-34,245
2017,CA-514,"Fresno, Madera Counties CoC",35-44,222
2017,CA-514,"Fresno, Madera Counties CoC",45-54,272
2017,CA-514,"Fresno, Madera Counties CoC",55-64,283
2017,CA-514,"Fresno, Madera Counties CoC",65+,77
2017,CA-514,"Fresno, Madera Counties CoC",Under 18,609
2017,CA-514,"Fresno, Madera Counties CoC",Unknown,26
2017,CA-515,Placer County CoC,18-24,94
2017,CA-515,Placer County CoC,25-34,218
2017,CA-515,Placer County CoC,35-44,220
2017,CA-515,Placer County CoC,45-54,233
2017,CA-515,Placer County CoC,55-64,198
2017,CA-515,Placer County CoC,65+,55
2017,CA-515,Placer County CoC,Under 18,253
2017,CA-515,Placer County CoC,Unknown,17
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",18-24,22
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",25-34,58
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",35-44,43
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",45-54,23
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",55-64,21
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",65+,*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Under 18,75
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Unknown,*
2017,CA-517,Napa County CoC,18-24,85
2017,CA-517,Napa County CoC,25-34,200
2017,CA-517,Napa County CoC,35-44,156
2017,CA-517,Napa County CoC,45-54,184
2017,CA-517,Napa County CoC,55-64,147
2017,CA-517,Napa County CoC,65+,27
2017,CA-517,Napa County CoC,Under 18,174
2017,CA-517,Napa County CoC,Unknown,*
2017,CA-518,Solano County CoC,18-24,72
2017,CA-518,Solano County CoC,25-34,164
2017,CA-518,Solano County CoC,35-44,145
2017,CA-518,Solano County CoC,45-54,158
2017,CA-518,Solano County CoC,55-64,176
2017,CA-518,Solano County CoC,65+,71
2017,CA-518,Solano County CoC,Under 18,204
2017,CA-518,Solano County CoC,Unknown,24
2017,CA-519,Butte County CoC,18-24,125
2017,CA-519,Butte County CoC,25-34,287
2017,CA-519,Butte County CoC,35-44,210
2017,CA-519,Butte County CoC,45-54,208
2017,CA-519,Butte County CoC,55-64,193
2017,CA-519,Butte County CoC,65+,55
2017,CA-519,Butte County CoC,Under 18,304
2017,CA-519,Butte County CoC,Unknown,18
2017,CA-520,Merced County CoC,18-24,41
2017,CA-520,Merced County CoC,25-34,81
2017,CA-520,Merced County CoC,35-44,116
2017,CA-520,Merced County CoC,45-54,134
2017,CA-520,Merced County CoC,55-64,157
2017,CA-520,Merced County CoC,65+,37
2017,CA-520,Merced County CoC,Under 18,33
2017,CA-520,Merced County CoC,Unknown,*
2017,CA-521,Yolo County CoC,18-24,42
2017,CA-521,Yolo County CoC,25-34,110
2017,CA-521,Yolo County CoC,35-44,89
2017,CA-521,Yolo County CoC,45-54,84
2017,CA-521,Yolo County CoC,55-64,61
2017,CA-521,Yolo County CoC,65+,*
2017,CA-521,Yolo County CoC,Under 18,128
2017,CA-521,Yolo County CoC,Unknown,*
2017,CA-522,Humboldt County CoC,18-24,81
2017,CA-522,Humboldt County CoC,25-34,156
2017,CA-522,Humboldt County CoC,35-44,130
2017,CA-522,Humboldt County CoC,45-54,120
2017,CA-522,Humboldt County CoC,55-64,121
2017,CA-522,Humboldt County CoC,65+,38
2017,CA-522,Humboldt County CoC,Under 18,299
2017,CA-522,Humboldt County CoC,Unknown,21
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",18-24,23
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",25-34,32
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",35-44,20
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",45-54,*
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",55-64,*
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",Under 18,115
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",Unknown,*
2017,CA-525,El Dorado County CoC,25-34,*
