County,Population,Total Housing Units,Year,Units Overcrowded,Units Severely Overcrowded,Units Income < 50K,Units Costs >= 30%
Mono County,14174.0,4847.0,2018,67.0,0.0,4636.0,1537.0
San Benito County,59416.0,17740.0,2018,1035.0,430.0,17398.0,6811.0
Sacramento County,1510023.0,536029.0,2018,19115.0,7189.0,522589.0,205319.0
El Dorado County,186661.0,69172.0,2018,1150.0,382.0,67421.0,24588.0
Monterey County,433212.0,126052.0,2018,10808.0,6413.0,122821.0,53422.0
San Francisco County,870044.0,359673.0,2018,9354.0,13599.0,349507.0,123149.0
San Diego County,3302833.0,1118980.0,2018,50615.0,24400.0,1090593.0,481888.0
Tulare County,460477.0,136106.0,2018,10333.0,2984.0,131271.0,54060.0
Humboldt County,135768.0,54267.0,2018,1391.0,694.0,52067.0,23151.0
Alpine County,1146.0,299.0,2018,6.0,1.0,289.0,107.0
Madera County,155013.0,44759.0,2018,2857.0,1153.0,42900.0,16046.0
Santa Cruz County,273765.0,95756.0,2018,4341.0,2693.0,93297.0,41093.0
Trinity County,12862.0,5796.0,2018,82.0,66.0,5489.0,2060.0
Riverside County,2383286.0,718349.0,2018,36229.0,13357.0,698588.0,297347.0
San Bernardino County,2135413.0,630633.0,2018,41453.0,15027.0,614247.0,261446.0
Marin County,260295.0,105258.0,2018,2484.0,1800.0,102761.0,40994.0
Placer County,380077.0,140661.0,2018,2178.0,746.0,137210.0,49918.0
Shasta County,179085.0,70473.0,2018,1697.0,604.0,68511.0,27051.0
Solano County,438530.0,149067.0,2018,5524.0,2171.0,145961.0,56080.0
Colusa County,21464.0,7113.0,2018,341.0,153.0,6845.0,2203.0
Tehama County,63373.0,24025.0,2018,846.0,400.0,23077.0,9484.0
Yuba County,75493.0,26179.0,2018,1416.0,489.0,25482.0,9836.0
Lassen County,31185.0,9493.0,2018,103.0,24.0,9219.0,2561.0
Sonoma County,501317.0,189339.0,2018,7139.0,2711.0,184786.0,74864.0
Imperial County,180216.0,44057.0,2018,3203.0,1413.0,42319.0,16695.0
Alameda County,1643700.0,572870.0,2018,28744.0,15422.0,559826.0,215335.0
