Year,Continuum of Care,Population,Homeless Count,% Homeless,Total Households,Households Overcrowded,% Households Overcrowded,Households Severely Overcrowded,% Households Severely Overcrowded,Households with Cost Burden,% Households with Cost Burden
2017,Alameda County CoC,1629615.0,6713.0,0.4119377889869693,569070.0,41529.0,7.2976962412357,13657.0,2.3998805067917828,218874.0,38.46170066951341
2017,"Alpine, Inyo, Mono Counties CoC",33456.0,151.0,0.45133907221425157,13229.0,260.0,1.965379091390128,64.0,0.48378562249603146,4244.0,32.08103409176808
2017,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",153920.0,368.0,0.2390852390852391,61698.0,1346.0,2.181594216992447,314.0,0.5089305974261726,22211.0,35.99954617653733
2017,Butte County CoC,225207.0,1400.0,0.621650303942595,86167.0,2564.0,2.9756171156011,685.0,0.7949679111492799,34750.0,40.32866410574814
2017,"Colusa, Glenn, Trinity Counties CoC",62451.0,190.0,0.3042385230020336,22445.0,1205.0,5.36867899309423,270.0,1.202940521274226,7738.0,34.47538427266652
2017,Contra Costa County CoC,1123678.0,4847.0,0.4313513301853378,389597.0,17896.0,4.593464528730971,4726.0,1.2130483550951368,147584.0,37.88119518374115
2017,El Dorado County CoC,185015.0,128.0,0.06918357970975327,68084.0,1459.0,2.142941072792433,326.0,0.47882028082956346,24967.0,36.670877151753714
2017,"Fresno, Madera Counties CoC",1126056.0,1879.0,0.16686559105408613,346282.0,32513.0,9.389168365667288,8417.0,2.430677886809017,138077.0,39.874148815127555
2017,Humboldt County CoC,135490.0,966.0,0.7129677466971732,53966.0,2020.0,3.7430975058370084,682.0,1.2637586628618018,22902.0,42.4378312270689
2017,Imperial County CoC,179957.0,496.0,0.27562139844518413,45198.0,4791.0,10.600026549847339,1249.0,2.76339661046949,17101.0,37.83574494446657
2017,Kern County CoC,878744.0,4669.0,0.5313265296832752,264993.0,23926.0,9.028917744997038,5761.0,2.1740196910861798,98963.0,37.345514787183056
2017,"Kings, Tulare Counties CoC",608992.0,3066.0,0.5034548893909936,177493.0,17004.0,9.580096116466565,4178.0,2.3538956465888794,69325.0,39.057878338864064
2017,Lake County CoC,64095.0,15.0,0.02340276152586005,26327.0,780.0,2.9627378736658185,275.0,1.0445550195616666,10623.0,40.35021081019486
2017,Los Angeles County CoC,10105722.0,61425.0,0.6078239634931576,3295198.0,384327.0,11.663244515200603,157771.0,4.787906523371281,1554854.0,47.18544985764133
2017,Marin County CoC,260814.0,1655.0,0.6345518262056484,104846.0,4066.0,3.8780687866013013,1577.0,1.5041107910649907,41438.0,39.52272857333613
2017,Mendocino County CoC,87497.0,712.0,0.8137421854463582,34182.0,1730.0,5.061143291791001,477.0,1.395471300684571,13922.0,40.729038675326194
2017,Merced County CoC,267390.0,599.0,0.22401735293017688,79261.0,7287.0,9.193676587476816,1711.0,2.1586909072557754,29818.0,37.6200148875235
2017,"Monterey, San Benito Counties CoC",491839.0,455.0,0.09250994736082335,143379.0,17710.0,12.35187858751979,6784.0,4.7315157728816635,61190.0,42.677100551684696
2017,Napa County CoC,141005.0,973.0,0.6900464522534662,49044.0,2829.0,5.768289699045755,743.0,1.5149661528423457,18958.0,38.65508522958976
2017,Nevada County CoC,98838.0,465.0,0.4704668245006981,40386.0,854.0,2.1145941662952508,320.0,0.7923537859654335,16142.0,39.969296290793835
2017,Orange County CoC,3155816.0,10590.0,0.3355708951345706,1024976.0,91475.0,8.924599210127846,31782.0,3.100755529885578,434454.0,42.38674856777134
2017,Placer County CoC,374985.0,1288.0,0.34348040588290196,138564.0,3017.0,2.1773332178632256,833.0,0.6011662480875263,49932.0,36.03533385294882
2017,Riverside County CoC,2355002.0,6703.0,0.28462820838368713,711724.0,50021.0,7.02814574188871,13217.0,1.8570400885736607,299282.0,42.050289157032786
2017,Sacramento County CoC,1495400.0,10420.0,0.6968035308278722,532050.0,25827.0,4.8542430222723425,6890.0,1.2949910722676439,207787.0,39.0540362747862
2017,San Bernardino County CoC,2121220.0,8435.0,0.3976485230197716,623642.0,54760.0,8.780678658589384,13554.0,2.1733622815653852,262046.0,42.018658140407474
2017,San Diego County CoC,3283665.0,11732.0,0.3572837058591543,1111739.0,72686.0,6.538045350572391,23702.0,2.1319752208027243,480362.0,43.20816306705081
2017,San Francisco CoC,864263.0,4441.0,0.5138482151844983,358772.0,22137.0,6.170213952036391,12642.0,3.523686352335188,128715.0,35.876545549819944
2017,San Joaquin County CoC,724153.0,9704.0,1.3400483047090876,223808.0,15895.0,7.102069631112381,3998.0,1.7863525879325135,88818.0,39.68490849299399
2017,San Luis Obispo County CoC,280119.0,1720.0,0.614024753765364,105044.0,3578.0,3.406191691100872,1226.0,1.1671299645862685,41792.0,39.7852328548037
2017,San Mateo County CoC,763450.0,4367.0,0.5720086449669265,261796.0,20199.0,7.7155495118336415,7943.0,3.0340417729835445,99156.0,37.87529221225687
2017,Santa Barbara County CoC,442996.0,2832.0,0.6392834246810355,144015.0,14808.0,10.282262264347464,5629.0,3.9086206297955077,61407.0,42.639308405374436
2017,Santa Clara County CoC,1911226.0,10324.0,0.540176828904588,630451.0,50098.0,7.9463748967009336,16198.0,2.569271838731321,230198.0,36.513226245973115
2017,Santa Cruz County CoC,273263.0,1920.0,0.702619820465998,95536.0,6545.0,6.850820633059788,2534.0,2.6524032825322394,41960.0,43.92061631217551
2017,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",311987.0,242.0,0.07756733453637492,121761.0,3370.0,2.7677170851093535,1003.0,0.8237448772595494,46016.0,37.792068067772114
