Area Type,Area Name,Year,Period,Labor Force,Employment,Unemployment,Unemployment Rate,Seasonally Adjusted (Y N),Status
Sub-County Place,Lebec CDP,2021,Annual,400,300,0,5.1,N,Final
Sub-County Place,Le Grand CDP,2021,Annual,700,600,100,10.1,N,Final
Sub-County Place,Lemon Cove CDP,2021,Annual,100,100,0,5.6,N,Final
Sub-County Place,Lemon Grove city,2021,Annual,12200,11100,1000,8.3,N,Final
Sub-County Place,Lemoore city,2021,Annual,11500,10600,900,7.7,N,Final
Sub-County Place,Lemoore Station CDP,2021,Annual,1000,900,100,8.9,N,Final
Sub-County Place,Lennox CDP,2021,Annual,11200,10200,1000,9.2,N,Final
Sub-County Place,Lenwood CDP,2021,Annual,1900,1800,100,4.8,N,Final
Sub-County Place,Lewiston CDP,2021,Annual,590,570,20,4.1,N,Final
Sub-County Place,Lincoln city,2021,Annual,19400,18300,1100,5.6,N,Final
Sub-County Place,Lincoln Village CDP,2021,Annual,1300,1200,100,9.7,N,Final
Sub-County Place,Linda CDP,2021,Annual,8600,7600,1100,12.4,N,Final
Sub-County Place,Linden CDP,2021,Annual,900,700,100,14.3,N,Final
Sub-County Place,Lindsay city,2021,Annual,5200,4100,1100,21.1,N,Final
Sub-County Place,Little Grass Valley CDP,2021,Annual,0,0,0,0,N,Final
Sub-County Place,Littlerock CDP,2021,Annual,400,400,100,14.7,N,Final
Sub-County Place,Live Oak CDP,2021,Annual,8400,7900,500,5.4,N,Final
Sub-County Place,Live Oak city,2021,Annual,3900,3600,200,5.7,N,Final
Sub-County Place,Livermore city,2021,Annual,47000,44800,2200,4.6,N,Final
Sub-County Place,Livingston city,2021,Annual,6500,5900,600,9.4,N,Final
Sub-County Place,Lockeford CDP,2021,Annual,1800,1600,200,8.5,N,Final
Sub-County Place,Lodi city,2021,Annual,30600,28200,2400,7.9,N,Final
Sub-County Place,Loma Linda city,2021,Annual,12500,11900,700,5.3,N,Final
Sub-County Place,Loma Rica CDP,2021,Annual,900,800,100,11.1,N,Final
Sub-County Place,Lomita city,2021,Annual,10600,10200,400,3.8,N,Final
Sub-County Place,Lompoc city,2021,Annual,17500,16100,1400,8.1,N,Final
Sub-County Place,London CDP,2021,Annual,600,500,100,15.7,N,Final
